size,algorithm,data_type,run_index,seed,time_s,comparisons,metadata,hostname,cpu_info,compiler_info,timestamp
7000,chaining,insert,2,44,0.000077555,0,"load_factor=0.7000;collisions=1539;max_chain=7","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
7000,open_addressing,insert,2,44,0.000124408,0,"load_factor=0.7000;total_probes=14972;max_cluster=69","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
7000,chaining,insert,3,45,0.000078518,0,"load_factor=0.7000;collisions=1575;max_chain=5","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
7000,open_addressing,insert,3,45,0.000146678,0,"load_factor=0.7000;total_probes=15601;max_cluster=54","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
7000,chaining,insert,4,46,0.000076632,0,"load_factor=0.7000;collisions=1591;max_chain=5","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
7000,open_addressing,insert,4,46,0.000124956,0,"load_factor=0.7000;total_probes=14647;max_cluster=59","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
8000,chaining,insert,0,42,0.000109733,0,"load_factor=0.7000;collisions=1792;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
8000,open_addressing,insert,0,42,0.000144670,0,"load_factor=0.7000;total_probes=17920;max_cluster=76","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
8000,chaining,insert,1,43,0.000088922,0,"load_factor=0.7000;collisions=1747;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
8000,open_addressing,insert,1,43,0.000146313,0,"load_factor=0.7000;total_probes=17089;max_cluster=74","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
8000,chaining,insert,2,44,0.000091941,0,"load_factor=0.7000;collisions=1766;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
8000,open_addressing,insert,2,44,0.000148564,0,"load_factor=0.7000;total_probes=17264;max_cluster=62","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
