size,algorithm,input_pattern,run_index,seed,time_s,min_val,max_val,cpu_model,cpu_cores,compiler_version,os_info,timestamp,hostname
500,merge_sort,nearly_sorted,0,42,0.00001218,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
500,merge_sort,nearly_sorted,1,43,0.00001129,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
500,merge_sort,nearly_sorted,2,44,0.00001085,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
1000,merge_sort,nearly_sorted,0,42,0.00002332,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
1000,merge_sort,nearly_sorted,1,43,0.00002198,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
1000,merge_sort,nearly_sorted,2,44,0.00002181,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
2500,merge_sort,nearly_sorted,0,42,0.00006492,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
2500,merge_sort,nearly_sorted,1,43,0.00006805,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
2500,merge_sort,nearly_sorted,2,44,0.00005691,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
5000,merge_sort,nearly_sorted,0,42,0.00012683,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
5000,merge_sort,nearly_sorted,1,43,0.00011732,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
5000,merge_sort,nearly_sorted,2,44,0.00014615,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
7500,merge_sort,nearly_sorted,0,42,0.00018986,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
7500,merge_sort,nearly_sorted,1,43,0.00017475,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
7500,merge_sort,nearly_sorted,2,44,0.00044505,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
10000,merge_sort,nearly_sorted,0,42,0.00024551,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
10000,merge_sort,nearly_sorted,1,43,0.00023693,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
10000,merge_sort,nearly_sorted,2,44,0.00023941,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:06","INOVAI-NB-8"
